Disease,Symptoms,Cures
acanthamoebkeratitis,"Eye Pain, Eye redness, Watery Eyes, Tearing","antibiotics,antifungals,surgery"
acute appendicitis,"Pain in lower abdomen, Nausea, Vomitting, Loss of Appetite",appendectomy
acute kidney injury (aki) alzheimer's,"Swelling in Legs, Shortness of Breath, Confusion, Nausea","treatment for the underlying cause,such as dehydration,infection,medication side effect "
adenovirus,"Eye Redness, Abdominal Pain, Headache, Urinal Blood","antibiotics,over-the-counter medications,rest,fluids"
aflatoxicosis,"Nausea, Vomitting, Abdominal Pain, Loss of Appetite","there is no cure for aflatoxicosis,but treatment may include supportive care,liver transplantation"
allergic rhinitis,"Runny Nose, Snoring, Nose Bleed, Ear Infection","over-the-counter medications,allergy shots"
alzheimer's disease,"Memory Loss, Poor Judgment, Repetitiveness","there is no cure for alzheimer's disease,but there are treatments that can help manage the symptoms"
anemia,"Fatigue, Shortness of Breath, Mouth Ulcers, Pale Skin Colour, Weight Loss","Iron Supplements, Balanced Diet, Adequate Sleep"
anxiety disorder,"Fatigue, Lack of Concentration, Difficulty in sleep, Shivering","treatment for anxiety disorders may include therapy,medication,combination of both"
aortic aneurysm,"Upper Back Pain, Shortness of Breath, Loss of Consciousness, Low Blood Pressure",surgery
appendicitis,"Fever, Nausea, Abdominal Pain, Vomiting",appendectomy
arthritis,"Joint Pain, Swelling, Stiffness","medication,physical therapy,lifestyle changes"
asperger syndrome,"Anxiety, Depression, Social isolation","there is no cure for asperger syndrome,but there are treatments that can help manage the symptoms"
asthma,"Shortness of Breath, Chest Pain, Cough, Wheezing, Loss of Sleep","treatment for asthmmay include medication,lifestyle changes,allergy shots"
atopic dermatitis,"Rashes, Dry Skin, Itching, Cracked Skin","medication,lifestyle changes"
bacterial meningitis,"Fever, Headache, Nausea, Vomiting, Dizziness, Cough",antibiotics
bipolar disorder,"Depression, Extreme mood swing, Headache, Loss of Sleep","treatment for bipolar disorder may include medication,therapy,combination of both"
blood clot,"Chest Pain, Cough, Shortness of Breath, Swelling, Watery Eyes","treatment for blood clot may include medication,surgery,combination of both"
bronchitis,"Mucus Production, Chest Pain, Cough, Shortness of Breath, Swelling, Watery Eyes","antibiotics,over-the-counter medications,rest,fluids"
bursitis,"Swelling, Stiffness, Tender Joints, Joint Pain","medication,rest,ice,compression,elevation"
celiac disease,"Abdominal Pain, Diarrhoea, Nausea, Vomitting, Loss of Weight",gluten-free diet
chickenpox,"Fatigue, Fever, Headache, Muscle Pain, Ulcers, Red Spots","antiviral medication,over-the-counter medications,rest,fluids"
cholesterol ,"Chest Pain, Dizziness, Stroke, Nausea","diet,exercise,medication"
common cold,"Runny Nose, Cough, Watery Eyes, Sneezing, Headache, Congestion","Stay Hydrated, Nasal Washing, Antibiotics, Medication"
chronic kidney disease,"Blood in Urine, Loss of Apetite, Loss of Weight, Frequent Urination","treatment for the underlying cause,such as high blood pressure,diabetes,an infection"
